epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.83499,0.48037,2.60544,1.02764,0.00333,1,0.10765,0.09096,0.29803,2.71081,0.88282,8e-05,8e-05,8e-05
2,10.8141,0.46575,2.45341,1.02253,0.00333,1,0.85425,0.6819,0.47581,2.73226,0.96302,0.000178218,0.000178218,0.000178218
3,11.9231,0.33532,1.89931,0.89306,0.00333,1,0.995,0.8801,0.42604,2.64755,0.91308,0.000274456,0.000274456,0.000274456
4,13.1847,0.36451,1.53677,0.90523,0.00333,1,0.995,0.9052,0.39912,2.59052,0.9051,0.000368714,0.000368714,0.000368714
5,14.1366,0.36297,1.27531,0.88259,0.00333,1,0.995,0.87464,0.50996,2.52421,0.9377,0.000460992,0.000460992,0.000460992
6,15.0549,0.39152,1.15264,0.92581,0.00333,1,0.995,0.89147,0.43258,2.46746,0.93078,0.00055129,0.00055129,0.00055129
7,16.001,0.37444,1.04414,0.93817,0.94857,0.92274,0.9831,0.83602,0.55872,2.22256,0.95444,0.000639608,0.000639608,0.000639608
8,16.9611,0.39714,0.97783,0.91812,0.94925,0.93572,0.99024,0.86977,0.51542,2.16099,0.95058,0.000725946,0.000725946,0.000725946
9,18.0109,0.37201,0.96273,0.90704,0.98283,1,0.995,0.87732,0.55819,1.73229,0.99241,0.000810304,0.000810304,0.000810304
10,19.3338,0.41981,0.89894,0.92582,1,0.93958,0.99045,0.86184,0.51581,1.64129,0.95663,0.000892682,0.000892682,0.000892682
11,20.8421,0.38988,0.85875,0.91282,0.7186,0.89399,0.82646,0.67345,0.58816,1.98004,0.99019,0.00097308,0.00097308,0.00097308
12,21.8519,0.45205,0.8837,0.93425,0.9424,1,0.97833,0.87778,0.46896,1.60502,0.90998,0.0010515,0.0010515,0.0010515
13,22.7627,0.38548,0.77987,0.90094,1,0.99336,0.995,0.86288,0.52024,1.48865,0.95185,0.00112794,0.00112794,0.00112794
14,23.726,0.40299,0.79978,0.91584,0.98927,1,0.995,0.85669,0.57312,1.54969,0.98518,0.00120239,0.00120239,0.00120239
15,24.6167,0.41766,0.89064,0.91903,0.90125,1,0.98295,0.86249,0.50644,1.63201,0.94122,0.00127487,0.00127487,0.00127487
16,25.5111,0.4265,0.83912,0.92564,1,0.78921,0.95361,0.80291,0.59254,1.7063,1.01315,0.00134537,0.00134537,0.00134537
17,26.4149,0.4203,0.75874,0.91047,0.80205,0.55,0.6131,0.51465,1.01678,2.1666,1.57385,0.00141389,0.00141389,0.00141389
18,27.2974,0.42068,0.85975,0.93313,0.59663,0.37075,0.42818,0.30493,1.36848,2.94185,1.79741,0.00148043,0.00148043,0.00148043
19,28.1748,0.39897,0.74537,0.92113,0.36637,0.35,0.32226,0.22332,1.50793,3.03669,2.0199,0.00154498,0.00154498,0.00154498
20,29.0682,0.38368,0.71497,0.91505,0.66318,0.49269,0.57595,0.39757,0.95073,2.34052,1.21662,0.00160756,0.00160756,0.00160756
21,29.9575,0.41094,0.69098,0.91681,0.88529,0.9,0.91351,0.75009,0.7384,1.49045,1.06291,0.001604,0.001604,0.001604
22,30.8189,0.35303,0.67933,0.89331,1,0.99327,0.995,0.81011,0.63753,1.17055,1.02589,0.0015842,0.0015842,0.0015842
23,31.6969,0.37765,0.63989,0.89144,1,0.99861,0.995,0.84073,0.65294,1.13999,1.04091,0.0015644,0.0015644,0.0015644
24,32.5884,0.37809,0.64954,0.89632,0.94953,0.94102,0.98,0.84658,0.60785,1.15456,1.00332,0.0015446,0.0015446,0.0015446
25,33.4627,0.39058,0.61467,0.89684,0.97475,0.95,0.96722,0.82764,0.58521,1.06805,0.99977,0.0015248,0.0015248,0.0015248
26,34.3461,0.38813,0.59562,0.90043,0.99221,0.9,0.96848,0.776,0.74319,0.98026,1.08756,0.001505,0.001505,0.001505
27,35.2086,0.37751,0.58801,0.89876,0.99415,0.9,0.9787,0.77217,0.72975,0.95091,1.09315,0.0014852,0.0014852,0.0014852
28,36.106,0.37302,0.61809,0.91138,0.94978,0.94579,0.96453,0.81077,0.61417,0.83428,1.04737,0.0014654,0.0014654,0.0014654
29,36.996,0.37198,0.60728,0.91259,1,0.99717,0.995,0.83288,0.68017,0.80955,1.09329,0.0014456,0.0014456,0.0014456
30,37.8571,0.38817,0.60975,0.90304,1,0.99846,0.995,0.81621,0.68173,0.7128,1.08998,0.0014258,0.0014258,0.0014258
31,38.7371,0.36009,0.5778,0.90053,1,0.99576,0.995,0.83614,0.62121,0.72293,1.06529,0.001406,0.001406,0.001406
32,39.645,0.36552,0.56558,0.87154,1,0.98587,0.995,0.86288,0.61876,0.67292,1.02959,0.0013862,0.0013862,0.0013862
33,40.5104,0.33773,0.54668,0.89623,0.94778,1,0.99262,0.85838,0.65742,0.68596,1.03802,0.0013664,0.0013664,0.0013664
34,41.3869,0.35028,0.5271,0.88757,0.94731,1,0.99262,0.84243,0.66362,0.67148,1.02647,0.0013466,0.0013466,0.0013466
35,42.2767,0.33295,0.54537,0.88931,0.99437,1,0.995,0.86996,0.6092,0.63159,0.98545,0.0013268,0.0013268,0.0013268
